id,keyword,location,text,predicted_label,predicted_severity,disaster_label
0,Unknown,Unknown,Just happened a terrible car crash,1,Severe,2
2,Unknown,Unknown,"Heard about #earthquake is different cities, stay safe everyone.",1,Mild,0
3,Unknown,Unknown,"there is a forest fire at spot pond, geese are fleeing across the street, I cannot save them all",1,Severe,2
9,Unknown,Unknown,Apocalypse lighting. #Spokane #wildfires,1,Mild,0
11,Unknown,Unknown,Typhoon Soudelor kills 28 in China and Taiwan,1,Severe,2
12,Unknown,Unknown,We're shaking...It's an earthquake,1,Mild,0
46,ablaze,London,Birmingham Wholesale Market is ablaze BBC News - Fire breaks out at Birmingham's Wholesale Market http://t.co/irWqCEZWEU,1,Mild,0
75,ablaze,India,Rape victim dies as she sets herself ablaze: A 16-year-old girl died of burn injuries as she set herself ablazeÛ_ http://t.co/UK8hNrbOob,1,Severe,2
99,accident,"Homewood, PA",Accident cleared in #PaTurnpike on PATP EB between PA-18 and Cranberry slow back to #traffic http://t.co/SL0Oqn0Vyr,1,Moderate,1
111,accident,Bexhill,@Traffic_SouthE @roadpol_east Accident on A27 near Lewes is it Kingston Roundabout rather than A283,1,Moderate,1
116,accident,Unknown,For Legal and Medical Referral Service @1800_Injured Call us at: 1-800-465-87332 #accident #slipandfall #dogbite,1,Moderate,1
124,accident,"All Motorways, UK",On the #M42 northbound between junctions J3 and J3A there are currently delays of 10 mins due to an accident c... http://t.co/LwI3prBa31,1,Moderate,1
127,accident,"Gresham, OR",ACCIDENT - HIT AND RUN - COLD at 500 BLOCK OF SE VISTA TER GRESHAM OR [Gresham Police #PG15000044357] 10:35 #pdx911,1,Moderate,1
140,accident,Unknown,@Calum5SOS this happened on accident but I like it http://t.co/QHmXuljSX9,1,Mild,0
142,accident,Las Vegas ,Please donate and spread the word! A training accident left the pole-vaulter Kira GrÌ_nberg a paraplegic http://t.co/6MpnyCl8PK,1,Moderate,1
169,aftershock,"Detroit, MI",'We are still living in the aftershock of Hiroshima people are still the scars of history.' - Edward Bond http://t.co/engTl5wrGp,1,Mild,0
200,airplane accident,"Lake Charles, LA",When carelessness leads to an aviation accident the victim has the right to seek compensation for damages. http://t.co/eqAG6rz1vO,1,Severe,2
206,airplane accident,Unknown,A girl who died in an airplane accident fifteen years ago,1,Severe,2
207,airplane accident,Unknown,@Mintechan Hihow are you? There is Keio line on the stationright? BTW do you know the airplane accident near Chofu airport this week?,1,Moderate,1
214,airplane accident,"Eagle Pass, Texas",Mexican airplane accident in Ocampo Coahuila MX on 7/29/25 killed Coahuila government SubSecretariat Francisco Garcia Castells age 42.,1,Severe,2
217,airplane accident,Unknown,Horrible Accident  Man Died In Wings of AirplaneåÊ(29-07-2015) http://t.co/5ZRKZdhODe,1,Severe,2
223,airplane accident,inland empire ca,@god if an accident were to happen on this airplane idc if the rest of my luggage is completely destroyed just please save my makeup,1,Moderate,1
224,airplane accident,Muscat,Horrible Accident Man Died In Wings of Airplane (29-07-2015) http://t.co/hG8u2kR1Rq,1,Severe,2
227,airplane accident,Unknown,#UPDATE: Picture from the Penn Twp. airplane accident. http://t.co/6JfgDnZRlC,1,Moderate,1
228,airplane accident,New York,"See how a judge ruled in this 2009 accident at #JFK Airport? involving Korean Air?.

http://t.co/Yh1cGlN3rl http://t.co/6F5ShPKjOB",1,Moderate,1
233,airplane accident,USA - Global Online Sales ,36 years ago today baseball lost one of its greats in an airplane accident. RIP Captain. #Yankees @yankees http://t.co/iNKU28vjJj,1,Mild,0
234,airplane accident,Unknown,Experts in France begin examining airplane debris found on Reunion Island: French air accident experts on Wedn... http://t.co/miw2i0pQxz,1,Moderate,1
236,airplane accident,Unknown,#BreakingNews Experts in France begin examining airplane debris found on Reunion Island: French air accident e...  http://t.co/3XIcUvlvlJ,1,Moderate,1
239,airplane accident,France,Experts in France begin examining airplane debris found on Reunion Island: French air accident experts on Wedn...  http://t.co/KuBsM16OuD,1,Moderate,1
250,ambulance,"Istanbul, TÌ_rkiye",Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/zdsug0UjS7,1,Severe,2
275,ambulance,"Atlanta, GA",Shot 12 times. Found dead in cuffs after being involved in a car accident. Officers told ambulance not to treat him. https://t.co/MEUDJwaaNg,1,Severe,2
286,ambulance,World,2 held with heroin in ambulance http://t.co/d9sOwi1G21 http://t.co/OPxmdPIwAu,1,Moderate,1
288,ambulance,Unknown,http://t.co/B2FaSrt1tN Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/O8BJXnEPQm,1,Severe,2
292,ambulance,"West Chester, PA",Why should a helicopter ambulance ride to transfer to a hospital 21 miles away cost $29800? http://t.co/7ZqIreY7Te http://t.co/9Qp3PqPwZv,1,Mild,0
304,annihilated,San Diego,Cop pulls drunk driver to safety SECONDS before his car is hit by train. http://t.co/cTL5xzIHxAåÊ http://t.co/1kDOZTD9mv via @ViralSpell,1,Mild,0
305,annihilated,New Orleans,Cop pulls drunk driver to safety SECONDS before his car is hit by train. http://t.co/cSsc8HcsXnåÊ http://t.co/jBlGyLCsAy via @ViralSpell,1,Mild,0
326,annihilated,Unknown,"Aug 3 1915ÛÓKAISERJAEGERS WIPED OUT.; Francis Joseph's Crack Regiment Annihilated on Carso Plateau.
http://t.co/D1sPSwl66H",1,Moderate,1
351,annihilation,Unknown,"Allied Plans for the Annihilation of the German People http://t.co/RUHxGlo18q
http://t.co/HbUpkzWdWq
Louis Nizer - Very interesting...",1,Mild,0
417,apocalypse,Unknown,"Apocalypse no! Why artists should not go into the #Fukushima exclusion zone 
http://t.co/3zqL0qbLUw
#nuclear #ura",1,Moderate,1
473,armageddon,Unknown,#Turkey invades #Israel - Halfway to #Armageddon http://t.co/xUOh3sJNXF,1,Mild,0
